sede_id,sede_desc_ingles,pais_iso_3,sede_tipo,redes_sociales
ERUNI,Embassy  in  United  Kingdom,GBR,Embajada,https://twitter.com/ARGinUK  //  https://www.facebook.com/ARGinUK/  //  https://www.flickr.com/photos/138300767@N07/albums  //  https://www.instagram.com/arginuk/  //  https://www.youtube.com/channel/UCzaGU10f-77SR56kini9-1g/videos?view_as=subscriber  //
EGREC,Embassy  in  Greece,GRC,Embajada,https://www.facebook.com/ArgentinaEnGrecia  //  https://www.youtube.com/channel/UCFaKsErEs33zEdzJbnrzOog/featured  //
EGUAT,Embassy  in  Guatemala,GTM,Embajada,
EGUYA,Embassy  in  Guyana,GUY,Embajada,
EHOND,Embassy  in  Honduras,HND,Embajada,https://www.facebook.com/ArgentinaEnHonduras/  //  Embajada  Argentina  en  Honduras  //
EHAIT,Embassy  in  Haiti,HTI,Embajada,
EUNGR,Embassy  in  Hungary,HUN,Embajada,https://www.facebook.com/ArgentinaEnHungria  //
EISIA,Embassy  in  Indonesia,IDN,Embajada,https://www.instagram.com/argentinaindonesia //
CGMUM,Consulate  General  and  Promotion  Center  in  Mumbai,IND,Consulado  General  y  Centro  de  Promoción,https://www.facebook.com/argenmumbai  //  https://www.instagram.com/argenmumbai  //  https://twitter.com/cgmum1  //
EINDI,Embassy  in  India,IND,Embajada,https://twitter.com/ArgentinaEnInd  //  https://www.facebook.com/ArgentinaEnInd  //  https://www.instagram.com/argentinaenind/  //
EIRLA,Embassy  in  Irlanda,IRL,Embajada,https://www.facebook.com/ArgentinaEnIrlanda/  //  https://www.instagram.com/embajadaargentinairlanda  //
EIRAN,Embassy  in  Iran,IRN,Embajada,
CGTEL,Consulate  General  in  Tel  Aviv,ISR,Consulado,https://www.facebook.com/ArgentinaEnIsrael/  //
EISRA,Embassy  in  Israel,ISR,Embajada,https://www.facebook.com/ArgEnIsrael  //  https://twitter.com/argenisrael  //
CMILA,Consulate  General  and  Promotion  Center  in  Milan,ITA,Consulado  General  y  Centro  de  Promoción,https://www.facebook.com/ConsuladoArgentinoenMilan  //  https://www.instagram.com/consuladoargentinoenmilan/  //  https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ  //
CROMA,Consulate  General  in  Rome,ITA,Consulado,https://www.facebook.com/ArgEnRoma/  //  https://www.instagram.com/consuladoargentinoenroma/  //
EITAL,Embassy  in  Italy,ITA,Embajada,https://es-la.facebook.com/emb.roma/  //  https://twitter.com/arginitalia?lang=es  //  https://www.instagram.com/arginitalia/?hl=es  //
EMFAO,Permanent  Mission  to  the  United  Nations  Organisation  for  Food  and  Agriculture,ITA,Misión  Permanente,https://twitter.com/ArgenFao //
EJAMA,Embassy  in  Jamaica,JAM,Embajada,https://www.facebook.com/ArgentinaEnJamaica/  //  https://twitter.com/ARGenJamaica  //  argentinaenjamaica  //
EJAPO,Embassy  in  Japan,JPN,Embajada,embajadaargentinaenjapon  //  https://www.facebook.com/ArgJapon/?ref=bookmarks  //
EKENY,Embassy  in  Kenya,KEN,Embajada,www.facebook.com/ArgentinaEnKenia  //  https://www.instagram.com/argenkenya/  //
ECORE,Embassy  in  South  Korea,KOR,Embajada,https://www.facebook.com/ArgentinaEnCorea/  //  https://www.instagram.com/embajadaargentinaencorea1/?hl=es  //
EKUWA,Embassy  in  Kuwait,KWT,Embajada,www.facebook.com/ArgentinaenKuwait  //
ELBIA,Embassy  in  Libya,LBY,Embajada,
ELUCI,Embassy  in  Saint  Lucia,LCA,Embajada,
EMARR,Embassy  in  Morocco,MAR,Embajada,https://www.instagram.com/marruecos.embajada/  //  https://twitter.com/ArgMarruecos  //
CMEXI,Consulate  General  in  Mexico,MEX,Consulado,
CPCAR,Consulate  in  Playa  del  Carmen,MEX,Consulado,
EMEXI,Embassy  in  Mexico,MEX,Embajada,https://twitter.com/@ARGenMexico  //  https://www.facebook.com/ARGenMexico/  //  https://www.instagram.com/embargenmexico/  //  https://www.youtube.com/user/EmbaArgenMX  //
EMOZA,Embassy  in  Mozambique,MOZ,Embajada,https://www.facebook.com/ArgentinaEnMozambique/  //  argenmozambique  //
EMSIA,Embassy  in  Malaysia,MYS,Embajada,https://www.facebook.com/ArgentinaEnMalasia  //
ENIGE,Embassy  in  Nigeria,NGA,Embajada,https://www.facebook.com/ArgentinaEnNigeria/  //  https://www.instagram.com/embargennigeria/?igshid=f0laoeu8lhv8  //
ENICA,Embassy  in  Nicaragua,NIC,Embajada,https://facebook.com/ArgentinaEnNicaragua  //  https://instagram.com/argennicaragua  //
EPBAJ,Embassy  in  Netherlands,NLD,Embajada,https://www.facebook.com/ArgEnPaisesBajos/  //  https://twitter.com/ArgentinaEnPB  //
ENORU,Embassy  in  Norway,NOR,Embajada,https://www.facebook.com/ArgentinaEnNoruega/  //  https://www.instagram.com/ARGenNoruega/  //
ENZEL,Embassy  in  New  Zeland,NZL,Embajada,
EPAKI,Embassy  in  Pakistan,PAK,Embajada,https://twitter.com/EmbajadadeArge1  //
EPNMA,Embassy  in  Panama,PAN,Embajada,https://facebook.com/ArgentinaEnPanama  //
CLIMA,Consulate  General  in  Lima,PER,Consulado,
EPERU,Embassy  in  Peru,PER,Embajada,https://twitter.com/Emb_Arg_Peru  //  https://www.facebook.com/ArgentinaEnPeru  //
EFILI,Embassy  in  the  Philippines,PHL,Embajada,https://www.facebook.com/ArgentinaEnFilipinas  //  https://www.instagram.com/argentinaenfilipinas/  //  https://twitter.com/ArgentinaEnFili  //
EPOLO,Embassy  in  Poland,POL,Embajada,https://www.facebook.com/Embajada-de-la-Rep%C3%BAblica-Argentina-en-Polonia-1726942037398853/  //
EPORT,Embassy  in  Portugal,PRT,Embajada,
CASUN,Consulate  General  in  Asuncion,PRY,Consulado,https://facebook.com/ArgentinaEnAsuncion //
CCEST,Consulate  General  in  Ciudad  del  Este,PRY,Consulado,https://www.facebook.com/ArgEnCiudaddeleste/  //  https://www.instagram.com/argenciudaddeleste  //
CENCA,Consulate  General  in  Encarnacion,PRY,Consulado,
EPARA,Embassy  in  Paraguay,PRY,Embajada,https://twitter.com/argenparaguay_  //  https://www.facebook.com/embajada.paraguay  //
REPAL,Representation  Office  in  the  State  of  Palestine,PSE,Embajada,https://www.facebook.com/ArgEnPalestina  //
EQATR,Embassy  in  Qatar,QAT,Embajada,https://twitter.com/embargenqatar  //  https://instagram.com/embargenqatar  //
ERUMA,Embassy  in  Romania,ROU,Embajada,https://www.facebook.com/ArgentinaEnRumania  //  https://www.instagram.com/argentinaenrumania  //
EFRUS,Embassy  in  Russia,RUS,Embajada,https://www.facebook.com/EMBAJADAARGENTINAENMOSCU  //  https://twitter.com/EmbArgRusia  //
EARAB,Embassy  in  Saudi  Arabia,SAU,Embajada,https://www.facebook.com/argentinaenarabiasaudita/  //  https://twitter.com/ensaudita  //  https://www.instagram.com/arginsaudi/  //
ESENE,Embassy  in  Senegal,SEN,Embajada,https://twitter.com/ARGenSenegal  //
ESING,Embassy  in  Singapore,SGP,Embajada,https://twitter.com/ARGinSingapore  //  https://instagram.com/argentine_embassy_singapore?igshid=YmMyMTA2M2Y=  //
ESALV,Embassy  in  El  Salvador,SLV,Embajada,https://twitter.com/ARGenElSalvador  //  https://www.facebook.com/ArgentinaEnElSalvador/  //  https://www.instagram.com/embargenelsalvador/  //
ESERB,Embassy  in  Serbia,SRB,Embajada,Facebook.com/ArgentinaEnSerbia  //  Instagram.com/ARGinSerbia  //
ESURI,Embassy  in  Suriname,SUR,Embajada,
ESUEC,Embassy  in  Sweden,SWE,Embajada,https://se.linkedin.com/showcase/arginsweden  //  https://www.facebook.com/arginsweden/  //  https://www.instagram.com/arginsweden/  //
ETAIL,Embassy  in  Thailand,THA,Embajada,https://www.facebook.com/ArgEnTailandiaBangkok/?tn-str=k*F  //
ETRIN,Embassy  in  Trinidad  and  Tobago,TTO,Embajada,www.facebook.com/ArgentinaEnTrinidadYTobago  //  arg_trinidad_tobago  //
ETUNE,Embassy  in  Tunisia,TUN,Embajada,https://www.facebook.com/ArgEnTunez/  //  https://www.twitter.com/EmbajadaTunez  //  https://www.instagram.com/embargentinatn  //  https://www.youtube.com/channel/UC8kSZug1SPHrp3r1hGzhjtg  //
CGEST,Consulate  General  and  Promotion  Center  in  Istambul,TUR,Consulado  General  y  Centro  de  Promoción,
ETURQ,Embassy  in  Türkiye,TUR,Embajada,https://facebook.com/Argentinaenturquia/  //  https://instagram.com/embargenturquia  //  https://twitter.com/ARGenTurquia  //
EUCRA,Embassy  in  Ukraine,UKR,Embajada,https://www.facebook.com/ArgentinaEnUcrania  //  https://www.instagram.com/argenucrania/  //
CMDEO,Consulate  General  in  Montevideo,URY,Consulado,https://www.facebook.com/ArgentinaEnMontevideo/  //
CCOLO,Consulate  in  Colonia,URY,Consulado,https://www.facebook.com/ArgentinaenColonia  //
CFBEN,Consulate  in  Fray  Bentos,URY,Consulado,
CMALD,Consulate  in  Maldonado,URY,Consulado,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal  //  https://www.instagram.com/consulado_argentino/  //
CPAYS,Consulate  in  Paysandu,URY,Consulado,
CSLTO,Consulate  in  Salto,URY,Consulado,https://instagram.com/consuladoargentinoensalto  //
EURUG,Embassy  in  Uruguay,URY,Embajada,https://twitter.com/ArgentinaEnUru  //  https://www.facebook.com/ArgentinaEnUru/  //  https://www.instagram.com/argentinaenuru/  //
EMSUR,Permanent  Mission  for  MERCOSUR  and  ALADI,URY,Misión  Permanente,
CLANG,Consulate  General  and  Promotion  Center  in  Los  Angeles,USA,Consulado  General  y  Centro  de  Promoción,https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel    //  https://instagram.com/arg_clang  //
CMIAM,Consulate  General  and  Promotion  Center  in  Miami,USA,Consulado  General  y  Centro  de  Promoción,https://es-la.facebook.com/consuladoargentino.miami/  //  https://instagram.com/consuladoargentinomia  //  https://twitter.com/argenmiami  //
CNYOR,Consulate  General  and  Promotion  Center  in  New  York,USA,Consulado  General  y  Centro  de  Promoción,https://www.facebook.com/ARGenNewYork  //  https://twitter.com/ARGenNewYork  //  https://www.instagram.com/argennewyork/  //  https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg  //
CATLA,Consulate  General  in  Atlanta,USA,Consulado,
CCHIC,Consulate  General  in  Chicago,USA,Consulado,https://twitter.com/argenchicago  //  https://www.facebook.com/ArgentinaEnChicago  //  https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured  //
CHOUS,Consulate  General  in  Houston,USA,Consulado,https://twitter.com/ARGenHouston  //  https://www.facebook.com/ArgentinaEnHouston/  //
EEEUU,Embassy  in  United  States,USA,Embajada,https://twitter.com/ARGinUSA  //  https://www.facebook.com/ARGinUSA/  //  https://www.instagram.com/ARGinUSA/  //  https://www.flickr.com/photos/ARGinUSA/  //  https://www.youtube.com/ARGinUSA  //  www.linkedin.com/in/ARGinUSA  //
EEOEA,Permanent  Mission  to  the  Organization  of  American  States,USA,Misión  Permanente,www.facebook.com/ARGenOEA/  //  www.instagram.com/argenoea/  //  www.twitter.com/ARGenOEA  //  www.youtube.com/channel/UCqjmCa0UfL3_I3Ovqz5ZAag/featured  //
ENAUN,Permanent  Mission  to  the  United  Nations,USA,Misión  Permanente,
EVIET,Embassy  in  Vietnam,VNM,Embajada,https://www.facebook.com/ArgentinaEnVietnam/  //  https://www.instagram.com/argenvietnam/  //
CJOHA,Consulate  General  in  Johannesburg,ZAF,Consulado,
ESAFR,Embassy  in  South  Africa,ZAF,Embajada,facebook.com/ArgenSudafrica  //  https://twitter.com/EmbArgentina  //  https://www.instagram.com/argentinaensudafrica  //
